PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=52 ttl=64 time=12.8 ms
64 bytes from 10.0.0.3: icmp_seq=53 ttl=64 time=3.62 ms
64 bytes from 10.0.0.3: icmp_seq=54 ttl=64 time=6.21 ms
64 bytes from 10.0.0.3: icmp_seq=55 ttl=64 time=7.68 ms
64 bytes from 10.0.0.3: icmp_seq=56 ttl=64 time=5.66 ms
64 bytes from 10.0.0.3: icmp_seq=57 ttl=64 time=7.93 ms
64 bytes from 10.0.0.3: icmp_seq=58 ttl=64 time=5.26 ms
64 bytes from 10.0.0.3: icmp_seq=59 ttl=64 time=4.66 ms
64 bytes from 10.0.0.3: icmp_seq=60 ttl=64 time=5.62 ms
64 bytes from 10.0.0.3: icmp_seq=61 ttl=64 time=5.86 ms
64 bytes from 10.0.0.3: icmp_seq=62 ttl=64 time=13.7 ms
64 bytes from 10.0.0.3: icmp_seq=63 ttl=64 time=6.98 ms
64 bytes from 10.0.0.3: icmp_seq=64 ttl=64 time=7.40 ms
64 bytes from 10.0.0.3: icmp_seq=65 ttl=64 time=8.19 ms
64 bytes from 10.0.0.3: icmp_seq=66 ttl=64 time=6.52 ms
64 bytes from 10.0.0.3: icmp_seq=67 ttl=64 time=8.24 ms
64 bytes from 10.0.0.3: icmp_seq=68 ttl=64 time=7.03 ms
64 bytes from 10.0.0.3: icmp_seq=69 ttl=64 time=5.63 ms
64 bytes from 10.0.0.3: icmp_seq=70 ttl=64 time=4.22 ms
64 bytes from 10.0.0.3: icmp_seq=71 ttl=64 time=5.64 ms
64 bytes from 10.0.0.3: icmp_seq=72 ttl=64 time=6.06 ms
64 bytes from 10.0.0.3: icmp_seq=73 ttl=64 time=5.03 ms
64 bytes from 10.0.0.3: icmp_seq=74 ttl=64 time=8.38 ms
64 bytes from 10.0.0.3: icmp_seq=75 ttl=64 time=3.36 ms
64 bytes from 10.0.0.3: icmp_seq=76 ttl=64 time=8.44 ms
64 bytes from 10.0.0.3: icmp_seq=77 ttl=64 time=5.35 ms
64 bytes from 10.0.0.3: icmp_seq=78 ttl=64 time=4.31 ms
64 bytes from 10.0.0.3: icmp_seq=79 ttl=64 time=11.7 ms
64 bytes from 10.0.0.3: icmp_seq=80 ttl=64 time=8.57 ms
64 bytes from 10.0.0.3: icmp_seq=81 ttl=64 time=7.31 ms
64 bytes from 10.0.0.3: icmp_seq=82 ttl=64 time=7.12 ms
64 bytes from 10.0.0.3: icmp_seq=83 ttl=64 time=8.67 ms
64 bytes from 10.0.0.3: icmp_seq=84 ttl=64 time=5.25 ms
64 bytes from 10.0.0.3: icmp_seq=85 ttl=64 time=5.02 ms
64 bytes from 10.0.0.3: icmp_seq=86 ttl=64 time=12.0 ms
64 bytes from 10.0.0.3: icmp_seq=87 ttl=64 time=12.3 ms
64 bytes from 10.0.0.3: icmp_seq=88 ttl=64 time=7.23 ms
64 bytes from 10.0.0.3: icmp_seq=89 ttl=64 time=5.21 ms
64 bytes from 10.0.0.3: icmp_seq=90 ttl=64 time=4.28 ms
64 bytes from 10.0.0.3: icmp_seq=91 ttl=64 time=23.6 ms
64 bytes from 10.0.0.3: icmp_seq=92 ttl=64 time=6.45 ms
