PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=129 ms
64 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=7.17 ms
64 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=6.94 ms
64 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=8.24 ms
64 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=5.36 ms
64 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=7.13 ms
64 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=4.38 ms
64 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=4.67 ms
64 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=3.73 ms
64 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=4.22 ms
64 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=7.28 ms
64 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=10.6 ms
64 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=22.0 ms
64 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=34.1 ms
64 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=7.22 ms
64 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=4.33 ms
64 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=8.27 ms
64 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=5.42 ms
64 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=5.17 ms
64 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=4.36 ms
64 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=12.1 ms
64 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=8.50 ms
64 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=8.97 ms
64 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=5.40 ms
64 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=4.10 ms
64 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=4.37 ms
64 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=7.82 ms
64 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=15.2 ms
64 bytes from 10.0.0.3: icmp_seq=29 ttl=64 time=14.3 ms
64 bytes from 10.0.0.3: icmp_seq=30 ttl=64 time=4.62 ms
64 bytes from 10.0.0.3: icmp_seq=31 ttl=64 time=4.27 ms
64 bytes from 10.0.0.3: icmp_seq=32 ttl=64 time=6.11 ms
64 bytes from 10.0.0.3: icmp_seq=33 ttl=64 time=6.38 ms
64 bytes from 10.0.0.3: icmp_seq=34 ttl=64 time=4.39 ms
64 bytes from 10.0.0.3: icmp_seq=35 ttl=64 time=5.33 ms
64 bytes from 10.0.0.3: icmp_seq=36 ttl=64 time=7.92 ms
64 bytes from 10.0.0.3: icmp_seq=37 ttl=64 time=8.06 ms
64 bytes from 10.0.0.3: icmp_seq=38 ttl=64 time=9.58 ms
64 bytes from 10.0.0.3: icmp_seq=39 ttl=64 time=11.1 ms
64 bytes from 10.0.0.3: icmp_seq=40 ttl=64 time=5.16 ms
64 bytes from 10.0.0.3: icmp_seq=41 ttl=64 time=13.3 ms
64 bytes from 10.0.0.3: icmp_seq=42 ttl=64 time=5.76 ms
64 bytes from 10.0.0.3: icmp_seq=43 ttl=64 time=6.72 ms
64 bytes from 10.0.0.3: icmp_seq=44 ttl=64 time=4.74 ms
64 bytes from 10.0.0.3: icmp_seq=45 ttl=64 time=5.22 ms
64 bytes from 10.0.0.3: icmp_seq=46 ttl=64 time=26.9 ms
64 bytes from 10.0.0.3: icmp_seq=47 ttl=64 time=6.19 ms
64 bytes from 10.0.0.3: icmp_seq=48 ttl=64 time=5.40 ms
64 bytes from 10.0.0.3: icmp_seq=49 ttl=64 time=7.21 ms
64 bytes from 10.0.0.3: icmp_seq=50 ttl=64 time=5.09 ms
64 bytes from 10.0.0.3: icmp_seq=51 ttl=64 time=4.48 ms
